Date,Time,Date calibrated,Time calibrated,[CH4] dissolved with water vapour (ppm),[CH4] dissolved with water vapour (nmol/L),[CH4] dissolved with constant dry gas flow (ppm),[CH4] dissolved with constant dry gas flow (nmol/L),[C2H6] dissolved (ppm),Delta 13 CH4 (per-mille),Depth (meter),Hydrostatic Pressure Calibrated (bar),[CH4] measured (ppm),[H2O] measured (%),[C13] measured (ppm),[C2H6] measured (ppm),Flow Carrier Gas (sccm),Total Flow (sccm),Cavity Pressure (mbar),Cellule Temperature (Degree Celsius),Hydrostatic pressure (bar),LShift,Error Standard,Ringdown Time (microSec),Box Temperature (Degree Celsius),Box Pressure (mbar),PWM Cellule Temperature,PWM Cellule Pressure,Laser Temperature (Degree Celsius),Laser Flux,Norm Signal,Value Max,datetime,[CH4] dissolved with water vapour (ppm)_RSD,[CH4] dissolved with water vapour (nmol/L)_RSD,Cavity Pressure (mbar)_FLAG,Cellule Temperature (Degree Celsius)_FLAG,Depth (meter)_FLAG,Flow Carrier Gas (sccm)_FLAG,Total Flow (sccm)_FLAG,Error Standard_FLAG,[C2H6] dissolved (ppm)_FLAG,Delta 13 CH4 (per-mille)_FLAG,[CH4] dissolved with water vapour (ppm)_FLAG,[CH4] dissolved with water vapour (nmol/L)_FLAG
2024/07/04,10:39:30,2024/07/04,10:39:46,7.14675,7.9237,83.6713,92.7675,0.129147,47.3935,0.429626,0.0432,1.832,1.922,0.752,0.027,1.99937,5.0,30.0,40.427,0.027,3.011,0.0112,12.935,28.075,3.489,0.01,31.99,15.893,54.879,1.821,0.7034,2024-07-04 10:39:30,1.755203414139294e-05,1.583098804851269e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/07/04,10:39:31,2024/07/04,10:39:47,6.68196,7.40838,78.1763,86.6752,,-144.763,0.365978,0.0368,1.891,1.869,0.931,-0.021,2.0,4.99875,30.0,40.432,0.023,2.974,0.0143,12.964,28.072,4.05,0.01,31.99,15.898,54.883,1.821,0.7037,2024-07-04 10:39:31,3.0603296038886796e-05,2.760252578836399e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024/07/04,10:39:32,2024/07/04,10:39:48,6.63063,7.35147,77.6011,86.0375,,180.429,0.429626,0.0432,1.668,1.126,1.246,-0.011,2.0,5.0,30.0156,40.427,0.027,2.927,0.0108,12.977,28.072,3.928,0.01,31.99,15.898,54.883,1.82,0.704,2024-07-04 10:39:32,1.7591088629587235e-05,1.5866214512199602e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024/07/04,10:39:33,2024/07/04,10:39:49,6.5202,7.22904,76.368,84.6703,0.0812908,-342.927,0.365978,0.0368,1.916,1.062,0.81,-0.023,1.99969,5.00063,30.0,40.429,0.023,3.055,0.0149,12.998,28.072,3.465,0.01,31.99,15.896,54.883,1.819,0.7043,2024-07-04 10:39:33,3.40495690316248e-05,3.07108551066255e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/07/04,10:39:34,2024/07/04,10:39:50,6.70584,7.43485,78.5304,87.0677,,-39.8731,0.429626,0.0432,1.803,1.947,0.651,-0.032,1.99969,5.0,30.0,40.415,0.027,3.12,0.014,12.987,28.07,3.953,0.01,31.99,15.895,54.883,1.817,0.7043,2024-07-04 10:39:34,2.922825477494244e-05,2.636233414258526e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024/07/04,10:39:35,2024/07/04,10:39:51,7.31748,8.11299,85.6942,95.0104,,66.6607,0.365978,0.0368,1.49,0.786,0.563,0.02,2.0,4.99937,30.0,40.42,0.023,3.139,0.0176,12.979,28.067,4.124,0.01,31.99,15.893,54.883,1.815,0.7045,2024-07-04 10:39:35,4.233151303454195e-05,3.8180744706945284e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024/07/04,10:39:36,2024/07/04,10:39:52,7.33292,8.13012,85.8823,95.2189,,130.771,0.365978,0.0368,1.752,1.146,0.902,0.026,2.0,4.99937,30.0,40.413,0.023,3.054,0.0138,12.974,28.061,3.587,0.01,31.99,15.897,54.879,1.814,0.7046,2024-07-04 10:39:36,2.597055470399241e-05,2.3424008501719532e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024/07/04,10:39:37,2024/07/04,10:39:53,6.15551,6.8247,72.1357,79.9779,,-227.002,0.365978,0.0368,1.632,1.943,0.815,0.025,1.99969,5.00063,29.9688,40.415,0.023,3.141,0.0107,12.944,28.06,3.977,0.01,31.99,15.897,54.883,1.813,0.7045,2024-07-04 10:39:37,1.8599596134195216e-05,1.677582897416736e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024/07/04,10:39:38,2024/07/04,10:39:54,6.31017,6.99618,73.9285,81.9656,0.100378,98.2811,0.365978,0.0368,1.763,1.789,1.015,0.009,1.99969,5.0,30.0156,40.411,0.023,3.201,0.0123,12.978,28.058,3.758,0.01,31.99,15.897,54.879,1.813,0.7043,2024-07-04 10:39:38,2.3975582274328583e-05,2.1624658027666527e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/07/04,10:39:39,2024/07/04,10:39:55,6.9847,7.74404,81.7883,90.6799,,73.4477,0.365978,0.0368,1.716,1.242,1.094,0.02,2.00031,4.99937,29.9844,40.41,0.023,3.111,0.0135,13.001,28.058,3.709,0.01,31.99,15.896,54.883,1.813,0.7043,2024-07-04 10:39:39,2.6092745572465528e-05,2.3534227612460677e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
